work_year,experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
0,0,0,0,0.85847,1,0
0,1,1,1,0.3,2,1
0,1,1,1,0.255,2,1
0,0,0,2,1.75,3,2
0,0,0,2,1.2,3,2
0,0,0,3,2.222,2,0
0,0,0,3,1.36,2,0
0,0,0,2,2.19,3,2
0,0,0,2,1.41,3,2
0,0,0,2,1.471,2,2
0,0,0,2,0.907,2,2
0,0,0,4,1.3,2,2
0,0,0,4,1.0,2,2
0,2,0,3,2.1366,2,0
0,2,0,3,1.3076,2,0
0,0,0,5,1.471,2,2
0,0,0,5,0.907,2,2
0,0,0,2,1.7,2,2
0,0,0,2,1.5,2,2
0,1,0,4,1.5,2,2
0,1,0,4,1.1,2,2
0,0,0,6,2.75,4,2
0,0,0,6,1.74,4,2
0,0,0,7,2.3,5,2
0,0,0,7,1.432,5,2
0,0,0,8,2.25,2,2
0,0,0,8,1.564,2,2
0,0,0,9,2.0,2,2
0,0,0,9,1.3,2,2
0,0,0,10,0.9,3,2
0,0,0,10,0.72,3,2
0,0,0,11,2.532,2,2
0,0,0,11,0.907,2,2
0,0,0,12,3.4281,2,2
0,0,0,12,1.8459,2,2
0,1,0,11,1.625,2,2
0,1,0,11,1.3,2,2
0,1,0,4,1.0538,2,2
0,1,0,4,0.645,2,2
0,2,0,13,1.0,6,0
0,2,0,14,0.3,6,0
1,1,0,9,0.20984,7,0
0,2,0,3,2.0462,2,0
0,2,0,3,1.1068,2,0
0,0,0,11,2.70703,2,2
0,0,0,11,2.21484,2,2
0,0,0,2,2.1275,2,2
0,0,0,2,1.85,2,2
0,0,0,2,2.62,2,2
0,0,0,2,2.45,2,2
0,0,0,2,2.753,2,2
0,0,0,2,1.835,2,2
0,0,0,2,2.185,2,2
0,0,0,2,1.99098,2,2
0,0,0,11,2.033,2,2
0,0,0,11,1.236,2,2
0,0,0,6,1.8911,2,2
0,0,0,6,1.39,2,2
0,3,0,2,2.5875,2,2
0,3,0,2,1.85,2,2
0,0,0,11,2.315,2,2
0,0,0,11,1.66,2,2
0,0,0,2,1.725,2,2
0,0,0,2,1.105,2,2
0,0,0,11,2.38,2,2
0,0,0,11,1.76,2,2
